article,final_decision
A Study of Search Intermediary Working Notes: Implications for IR System Design.,True
A Theory of Restricted Quantification I.,True
A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.,True
A VLSI architecture for dynamic scene analysis.,True
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,True
A WWW Information Seeking Process Model.,True
A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.,True
A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.,True
A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,True
A central limit theorem for normalized products of random matrices.,True
A clarification of confirmatory composite analysis (CCA).,True
A clustering detector with graph theory for blind detection of spatial modulation systems.,True
A comparative study between syringe-based and screw-based 3D food printers by computational simulation.,True
A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.,True
A confidence map and pixel-based weighted correlation for PRNU-based camera identification.,True
A construction of vertex-transitive non-Cayley graphs.,True
A constructive approach to examination timetabling based on adaptive decomposition and ordering.,True
A content based image retrieval system for a biological specimen collection.,True
A deep learning based method benefiting from characteristics of patents for semantic relation classification.,True
A deployment methodology of real-time industrial control applications in distributed controllers.,True
A discontinuous Galerkin finite element method for directly solving the Hamilton-Jacobi equations.,True
A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.,True
A fast graphics printing program for neurophysiological data.,True
A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.,True
A finite characterization of,True
A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.,True
A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.,True
A generic framework for heap and value analyses of object-oriented programming languages.,True
A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.,True
A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.,True
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,True
A knowledge based decision support system for computer performance management.,True
A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.,True
A library network model.,True
A make-to-stock production/inventory model with MAP arrivals and phase-type demands.,True
A martingale Kronecker lemma and parameter estimation for linear systems.,True
A method to optimize evacuation instructions.,True
A method to track cortical surface deformations using a laser range scanner.,True
A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,True
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,True
A modified cumulant matrix for DOA estimation.,True
A multi-granularity heuristic-combining approach for censorship circumvention activity identification.,True
A multi-stage spatio-temporal adaptive network for video super-resolution.,True
A multimodal fusion approach for image captioning.,True
A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).,True
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,True
A new approach for interpreting Random Forest models and its application to the biology of ageing.,True
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,True
A new data hiding approach for image steganography based on visual color sensitivity.,True
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,True
A new lower bound for the minimum distance of a cyclic code.,True
A new rough cloud AHP method for risk evaluation of public-private partnership projects.,True
A nonlinear state estimation framework for humanoid robots.,True
A note on the Distance spectral radius of some graphs.,True
A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.,True
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,True
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,True
A quantum related-key attack based on the Bernstein-Vazirani algorithm.,True
A real-time cloth draping simulation algorithm using conjugate harmonic functions.,True
A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,True
A serial inventory system with supplier selection and order quantity allocation.,True
A simple model of retina-LGN transmission.,True
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,True
A statistical feature data mining framework for constructing scholars' career trajectories in academic data.,True
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,True
A survey of transformer-based multimodal pre-trained modals.,True
A tandem queueing model with coupled processors.,True
A weighted strategy to handle likelihood uncertainty in Bayesian inference.,True
A workflow management system to feed digital libraries: proposal and case study.,True
"ACM/Springer Mobile Networks and Applications (MONET) Special Issue on ""Advanced Mobile Applications and Intelligent Multimedia systems for Ubi-Com"".",True
AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.,True
Absolutely expedient imitative behavior.,True
Accelerating Density Peak Clustering Algorithm.,True
Accelerating Multipattern Matching on Compressed HTTP Traffic.,True
Accounting for Dynamic Diversity Among Child Users of IoT.,True
Acoustic Features for the Identification of Coronary Artery Disease.,True
Adaptive Geometry Image.,True
Adaptive Particle Filter for Data Fusion of Multiple Cameras.,True
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,True
Adaptive learning region importance for region-based image retrieval.,True
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,True
Advanced manufacturing systems: supply-demand matching of manufacturing resource based on complex networks and Internet of Things.,True
Advances in Librarianship (Volume 33).,True
Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.,True
Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.,True
Aerial Robotics and the Quadrotor [From the Guest Editors].,True
Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.,True
Algebraic and combinatorial results for ranking competitors in a sequence of races.,True
Algorithm 300: Coulomb wave functions.,True
Algorithms for Shape Analysis of Contours and Waveforms.,True
All-Optical Cochlear Implants.,True
Allowing for the effect of data binning in a Bayesian Normal mixture model.,True
Almost Lyapunov functions for nonlinear systems.,True
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,True
An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.,True
An Adaptive Piecewise Harmonic Analysis Method for Reconstructing Multi-Year Sea Surface Chlorophyll-A Time Series.,True
An Advanced Voltage Support Scheme Considering the Impact of Zero-Sequence Voltage Under Microgrid Faults Using Model Predictive Control.,True
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,True
An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,True
"An Empirical Investigation of Digital Content Characteristics, Value, and Flow.",True
An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.,True
An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.,True
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,True
An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.,True
An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.,True
An Extremal Problem on Sparse 0-1 Matrices.,True
An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,True
An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.,True
An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.,True
An Operational Approach To Program Design.,True
An Optimal Control Problem in Polyconvex Hyperelasticity.,True
An Optimized Cost Flow Algorithm to Spread Cells in Detailed Placement.,True
An Upper Bound for Ramanujan Primes.,True
An accuracy improved hearing aid readout circuit using a gain-enhanced and OTA-free pseudo-PLL feedback technique.,True
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,True
An admission control algorithm based on matching game and differentiated service in wireless mesh networks.,True
An attitude-driven web consensus support system for heterogeneous group decision making.,True
An autonomous IoT service placement methodology in fog computing.,True
An effective fusion defogging approach for single sea fog image.,True
An efficient and scalable approach for mining subgraphs in a single large graph.,True
An efficient image aesthetic analysis system using Hadoop.,True
An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,True
An efficient volume- rendering algorithm with an analytic approach.,True
An efficient weak sharpening detection method for image forensics.,True
An efficiently computable subgraph pattern support measure: counting independent observations.,True
An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.,True
An evaluation of alert services: quantity versus quality.,True
An extended KCF tracking algorithm based on TLD structure in low frame rate videos.,True
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,True
"An informational distance for estimating the faithfulness of a possibility distribution, viewed as a family of probability distributions, with respect to data.",True
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,True
An integrated model to evaluate water-energy-food nexus at a household scale.,True
An integrated risk measurement and optimization model for trustworthy software process management.,True
An interval statistical procedure for use in validation of simulation models.,True
An iterative approach for sparse direction-of-arrival estimation in co-prime arrays with off-grid targets.,True
An outcome of expert-oriented digitalization of university processes.,True
An unusual chaotic system and its control.,True
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,True
"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system.",True
Analysis of the Reliability of LoRa.,True
Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.,True
Analyzing the relationship between text features and grants productivity.,True
Animal behavior as a paradigm for developing robot autonomy.,True
Annotating and modeling empathy in spoken conversations.,True
Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.,True
Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.,True
Application of adaptive multilevel splitting to high-dimensional dynamical systems.,True
Application of hybrid fast marching method to determine the real-time path for the biped robot.,True
Application of the Generalized Hamiltonian Dynamics to Spherical Harmonic Oscillators.,True
Applying Case-Based Reasoning to Tactical Cognitive Sensor Networks for Dynamic Frequency Allocation.,True
Approximability in the GPAC.,True
Architectures reconfigurable et faible consommation. Réalité ou prospective ?,True
Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?,True
Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,True
Argumentation and CP-Boolean Games.,True
Array of Organic Field-Effect Transistor for Advanced Sensing.,True
Assessment for soil improvement benefit of land rehabilitation in dump areas.,True
Assessment of changes in urban green spaces of Mashad city using satellite data.,True
Association between triallelic polymorphism of the serotonin transporter and [,True
Asymptotically optimal quantizers for detection of I.I.D. data.,True
Austin Center for Design.,True
Austin Group Status Update.,True
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",True
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,True
Automatic analysis of electronic digital circuits using list processing.,True
Automatic scaling range selection for long-range dependent network traffic.,True
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,True
Autonomous Population Regulation Using a Multi-Agent System in a Prey-Predator Model That Integrates Cellular Automata and the African Buffalo Optimization Metaheuristic.,True
Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.,True
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,True
Belief function of Pythagorean fuzzy rough approximation space and its applications.,True
Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.,True
Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.,True
Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.,True
Bidirectional Optical Spatial Modulation for Mobile Users: Toward a Practical Design for LiFi Systems.,True
Big vs little core for energy-efficient Hadoop computing.,True
Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,True
Black-box attacks against log anomaly detection with adversarial examples.,True
Block-Based High Performance CNN Architectures for Frame-Level Overlapping Speech Detection.,True
Block-level packet recovery with network coding for wireless reliable multicast.,True
Blockchain Standard: Can We Reach Consensus?,True
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,True
Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.,True
Book review.,True
Bottom-up action modeling via spatial factorization for serving food.,True
Bridging gaps in handoffs: A continuity of care based approach.,True
Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.,True
Business pluralism of electronic prescriptions: state of development in Europe and the USA.,True
CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.,True
CMPF: Class-switching minimized pathfinding in metabolic networks.,True
Calculating the Maximum Execution Time of Real-Time Programs.,True
Calculation and Analysis of Constant Stiffness Space for Redundant Cable-Driven Parallel Robots.,True
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,True
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,True
Central versus local multiple stage inventory planning: An analysis of solutions.,True
Cerebrospinal fluid control system.,True
Chapter Two - Integrated platforms for blockchain enablement.,True
Characteristic vector and weight distribution of a linear code.,True
Characterization of unlabeled level planar trees.,True
Clinical Outcome Prediction Using Single-Cell Data.,True
Clustering bivariate mixed-type data via the cluster-weighted model.,True
Coalition-Based Cooperative Packet Delivery under Uncertainty: A Dynamic Bayesian Coalitional Game.,True
"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes.",True
Cognitive strategies observed during problem solving with LOGO.,True
Coincidence of cooperative game theoretic solutions in the appointment problem.,True
Collaborative adhocracies and mix-and-match technologies in emergency management.,True
Combat Models for RTS Games.,True
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,True
Comment on the Public Key Substitution Attacks.,True
Comments on a cryptographic key assignment scheme.,True
Communication Quality Prediction for Internet of Vehicle (IoV) Networks: An Elman Approach.,True
Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.,True
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,True
Comparing Data Mining Models in Academic Analytics.,True
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,True
Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.,True
Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,True
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,True
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,True
Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.,True
Computational origami environment on the web.,True
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,True
Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.,True
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",True
Computing the Newton Polygon of the Implicit Equation.,True
Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.,True
Confidence intervals for an ordinal effect size measure based on partially validated series.,True
Considerations on the multiplexing and diversity tradeoff in ieee 802.11 networks.,True
Consistency degrees of theories in some systems of propositional fuzzy logic.,True
Constructing Optimal Highways.,True
Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.,True
Construction of regular languages and recognizability of polynomials.,True
Contactless palmprint verification system using 2-D gabor filter and principal component analysis.,True
Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.,True
Context Effect in the Categorical Perception of Mandarin Tones.,True
Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.,True
Control of clock signals.,True
Convergence and steady-state analysis of the normalized least mean fourth algorithm.,True
Convergence of Fourier-Wavelet Models for Gaussian Random Processes.,True
Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).,True
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,True
Converting scanned images of seismic reflection data into SEG-Y format.,True
Coordinating Programs in the Network of Tasks Model.,True
Correction of Wavefront Tilt Caused by Atmospheric Turbulence Using Quadrant Detectors for Enabling Fast Free-Space Quantum Communications in Daylight.,True
Correction to: Mapping audiovisual content providers and resources in Greece.,True
Correlation Coefficients for a Study with Repeated Measures.,True
Correlation analysis of target echoes using distributed transmit array.,True
Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.,True
"Corrigendum to ""Stable matchings and preferences of couples"" [J. Econ. Theory 121 (1) (2005) 75-106].",True
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",True
Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.,True
Coupling strategies for the numerical simulation of blood flow in deformable arteries by 3D and 1D models.,True
Creating Face Models from Vague Mental Images.,True
Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.,True
Critical diversity dimensions influencing effective diverse workforce: a grey-DEMATEL approach.,True
Crop rotation scheduling with adjacency constraints.,True
Cyber Crime: How Technology Makes it Easy and What to do About it.,True
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,True
DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.,True
DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.,True
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,True
DVB - vom Digitalen Fernsehen zum Datenrundfunk.,True
Das Regionale Wirtschaftsarchiv in Berlin.,True
"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712).",True
Decentralized Consensus Optimization Based on Parallel Random Walk.,True
Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.,True
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",True
Dedication.,True
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,True
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,True
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,True
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,True
Demand-oblivious routing with planned link pruning.,True
Density of Extremal Sets in Multivariate Chebyshev Approximation.,True
Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,True
Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.,True
Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.,True
Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,True
Design and application of integrated parabolic soft actuator.,True
Design of WAMS-Based Multiple HVDC Damping Control System.,True
Design principles for the glycoprotein quality control pathway.,True
Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,True
Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,True
Determinants of IS Planning Comprehensiveness.,True
Determination of optimal order-up to level quantities for dependent spare parts using data mining.,True
Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,True
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,True
Developing the New Learning Environment: The Changing Role of the Academic Librarian.,True
Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.,True
Development of a Smart Helmet for Strategical BCI Applications.,True
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,True
Development of open platform humanoid robot DARwIn-OP.,True
Digital Earth: a new challenge and new vision.,True
Digitale Transformation im stationären Einzelhandel.,True
Dimension quotients of metabelian Lie rings.,True
Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.,True
Dissociated multi-unit activity and local field potentials: A theory inspired analysis of a motor decision task.,True
Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,True
Distance Oracles beyond the Thorup-Zwick Bound.,True
Distance Transformation for Network Design Problems.,True
Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.,True
Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.,True
Distributed Nesterov Gradient and Heavy-Ball Double Accelerated Asynchronous Optimization.,True
Distributed proportion-integration-derivation formation control for second-order multi-agent systems with communication time delays.,True
Does Information Technology Investment Influence a Firm's Market Value? A Case of Non-Publicly Traded Healthcare Firms.,True
Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.,True
Domain-Independent Queries on Databases with External Functions.,True
Dominating sets in triangulations on surfaces.,True
Downlink Resource Sharing in Multichannel Device-to-Device Communication.,True
Drivers and barriers for secure hardware adoption across ecosystem stakeholders.,True
Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.,True
Dynamic QoS control of multimedia applications based on ,True
Dynamic anti-windup based control method for state constrained systems.,True
Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.,True
Dynamic establishment of restorable connections using p.,True
E-Commerce Growth and the Changing Structure of the Retail Sales Industry.,True
E-medical diagnosis support system for non-invasive liver fibrosis recognition.,True
Early Flame Detection in Video Sequences based on D-S Evidence Theory.,True
EcoCyc: fusing model organism databases with systems biology.,True
Editorial Foreword.,True
Editorial on the special issue of RTNS 2020.,True
Editorial pointers.,True
Editorial.,True
Editorial: State of the Journal.,True
Editorial: Supporting healthcare reform with augmented electronic medical records system.,True
Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.,True
Effective Resistance Preserving Directed Graph Symmetrization.,True
Effects of Modulation Techniques on the Input Current Interharmonics of Adjustable Speed Drives.,True
Effects of Target Expansion on Selection Performance in Older Computer Users.,True
Effects of vocabulary training by computer in kindergarten.,True
Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.,True
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,True
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,True
Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,True
Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.,True
Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,True
Energy-saving distributed monitoring-based firefly algorithm in wireless sensors networks.,True
Engagement in the course of programming in higher education through the use of gamification.,True
Enhance VR: A Multisensory Approach to Cognitive Training and Monitoring.,True
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,True
Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.,True
Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.,True
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,True
Ensemble convolutional neural networks for pose estimation.,True
Entanglement cost of generalised measurements.,True
Enterprise Network Security - A New Approach.,True
Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,True
Epistemology and economics.,True
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",True
"Erratum to ""Time Domain Calibration Method of Open-Ended Coaxial Probe in Dielectric Measurement"".",True
Error analysis for a non-standard class of differential quasi-interpolants.,True
Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.,True
Estimating the extra costs imposed on delivery vehicles using access time windows in a city.,True
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,True
Euclidean Distance Approximations From Replacement Product Graphs.,True
Evaluating the user-centredness of development organisations: conclusions and implications from empirical usability capability maturity assessments.,True
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,True
Evidential weights of multiple preferences for competitiveness.,True
"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",True
Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.,True
Existence of fuzzy prekernels and Mas-Colell bargaining sets in TU games.,True
Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.,True
Expected model for portfolio selection with random fuzzy returns.,True
Explanation and description in computational neuroscience.,True
Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.,True
Exploiting GSM short message service for ubiquitous accessing.,True
Explorations into Virtual Architecture: A HIT Lab Gallery.,True
Exponential stability and solution bounds for systems with bounded nonlinearities.,True
Extending and interpreting Post's programme.,True
FAC: A Functional APL Language.,True
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,True
FEA Modeling of Soft Tissue Interaction for Active Needles With a Rotational Tip Joint.,True
