volume,article
8,A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.
34,Uncertain Currency Model and Currency Option Pricing.
4,Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.
10,Optimal power allocation for relayed transmissions over Rayleigh-fading channels.
98,Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.
39,Correlation Coefficients for a Study with Repeated Measures.
18,R & D indicators and socio-economic cohesion.
47,Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.
2,RIO configuration optimization for assured service in diffserv networks.
20,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.
28,Knightian decision theory and econometric inferences.
83,Hitori Numbers.
66,Heavy-tails in Kalman filtering with packet losses.
61,Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.
72,GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.
86,Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.
63,A biochemical multi-species quality model of a drinking water distribution system for simulation and design.
69,Early Flame Detection in Video Sequences based on D-S Evidence Theory.
10,The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.
78,Demand-oblivious routing with planned link pruning.
32,Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.
3,"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache."
36,Wideband Interferometry in Synthetic Aperture Sonar.
36,Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.
62,Comment on the Public Key Substitution Attacks.
45,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
33,Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.
42,Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.
80,Geoinformatics education in China.
58,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
64,IO and OI. II.
30,A clarification of confirmatory composite analysis (CCA).
69,Solving Some Affine Equations over Finite Fields.
45,Editorial: State of the Journal.
77,Homogeneous Spiking Neural P Systems.
20,"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case""."
66,Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.
48,Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.
55,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
52,GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.
7,Factors affecting primary health care centers' economic and production efficiency.
82,TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.
52,Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).
37,ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.
8,Preface.
45,Mobile spoken dialogue system using parser dependencies and ontology.
69,All-Optical Cochlear Implants.
86,A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.
12,Structuring and modules for knowledge bases: motivation for a new model.
81,A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.
63,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
46,An integrated risk measurement and optimization model for trustworthy software process management.
3,Personal informatics systems for supporting self-regulation in online learning environments.
85,Formal Lagrangian Operad.
21,Sparse and Dense Linear Algebra for Machine Learning on Parallel-RDBMS Using SQL.
67,An evaluation of alert services: quantity versus quality.
88,Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.
39,A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.
75,"Gateways, architectures, and heffalumps."
79,Admission control with physical rate measurement for IEEE 802.11e controlled channel access.
68,Numerical simulation of stochastic gene circuits.
36,An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.
50,Internetalization of End-Users.
86,A new data hiding approach for image steganography based on visual color sensitivity.
25,(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.
49,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
79,Aerial Robotics and the Quadrotor [From the Guest Editors].
7,D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.
18,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
36,Optimal Pilot Symbol Power Allocation under Time-variant Channels.
52,Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.
79,NFS version 4 Protocol.
33,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
83,Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.
84,Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.
23,Explanation and description in computational neuroscience.
100,An unusual chaotic system and its control.
74,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.
53,Phone-level pronunciation scoring and assessment for interactive language learning.
93,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
15,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.
43,"Life, IoT, and the Pursuit of Happiness."
53,Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.
55,PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.
80,MODEM: multi-omics data envelopment and mining in maize.
61,Enterprise Network Security - A New Approach.
52,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.
49,3D flow field estimation and assessment for live cell fluorescence microscopy.
54,Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.
79,A deployment methodology of real-time industrial control applications in distributed controllers.
96,Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.
66,Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.
22,Making Customer Service a Priority.
75,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
13,MAP Symbol decoding in channels with error bursts.
66,Reduction of sample sizes in network sampling models.
52,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.
39,Prioritized Deployment of Dynamic Service Function Chains.
7,EcoCyc: fusing model organism databases with systems biology.
50,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.
66,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.
17,Relativistic Effects in Bistatic Synthetic Aperture Radar.
77,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.
55,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.
30,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.
94,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
45,Crop rotation scheduling with adjacency constraints.
24,What's happening.
69,Long Time versus Steady State Optimal Control.
31,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.
75,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
94,Methods for Comprehensive Analysis of Heat Supply Reliability.
7,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.
81,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.
23,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.
40,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.
8,Ensemble convolutional neural networks for pose estimation.
59,Robust load planning of trains in intermodal transportation.
70,Implementation and performance analysis of various VM placement strategies in CloudSim.
95,Blockchain Standard: Can We Reach Consensus?
23,Lossy Compression of Communication Traces Using Recurrent Neural Networks.
56,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
94,Visible light communication using TDMA optical beamforming.
71,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.
8,Resource management in network dynamics: An optimal approach to the admission control problem.
62,Correction to: Mapping audiovisual content providers and resources in Greece.
77,Effects of vocabulary training by computer in kindergarten.
50,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.
33,A simple model of retina-LGN transmission.
85,Business pluralism of electronic prescriptions: state of development in Europe and the USA.
53,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
55,A multi-stage spatio-temporal adaptive network for video super-resolution.
51,The strong connectivity of bubble-sort star graphs.
86,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.
26,Introduction.
87,Mixing network coding and cooperation for reliable wireless communications.
37,Stochastic Models with Multistability and Extinction Levels.
95,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.
84,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.
23,Special issue: Intelligent user interfaces.
73,"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433."
21,AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.
1,Characteristic vector and weight distribution of a linear code.
25,Application of hybrid fast marching method to determine the real-time path for the biped robot.
54,A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.
24,Development of open platform humanoid robot DARwIn-OP.
23,Evidential weights of multiple preferences for competitiveness.
31,A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.
41,A confidence map and pixel-based weighted correlation for PRNU-based camera identification.
22,Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.
57,The Game of Hacking Academic Websites.
45,"Erratum to ""Time Domain Calibration Method of Open-Ended Coaxial Probe in Dielectric Measurement""."
7,Autonomous Population Regulation Using a Multi-Agent System in a Prey-Predator Model That Integrates Cellular Automata and the African Buffalo Optimization Metaheuristic.
47,"Reconstruction of the Infection Curve for SARS Epidemic in Beijing, China Using a Back-Projection Method."
29,Pruning Strategy on Adaptive Rule Model by Sorting Utility Items.
57,Modular Simulation-Based Physical and Emotional Assessment of Ambient Intelligence in Traffic.
94,Group consensus for heterogeneous multi-agent systems with parametric uncertainties.
33,Fuzzy logic control of three-pole active magnetic bearing system.
36,Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.
74,How can Social Herding Enhance Cooperation?
53,A Novel Process Network Model for Interacting Context-Aware Web Services.
94,"Mechanisms underlying decoding at 7 T: Ocular dominance columns, broad structures, and macroscopic blood vessels in V1 convey information on the stimulated eye."
60,Syndicated crime and international terrorism: the lessons of '9-11'.
87,Intermodulation performance of biased-nonlinearities.
6,Convergence of Fourier-Wavelet Models for Gaussian Random Processes.
40,Growth Theorems for a Subclass of Strongly Spirallike Functions.
78,QoS-Aware Middleware for Web Services Composition.
7,Stepwise structural verification of cyclic workflow models with acyclic decomposition and reduction of loops.
79,Well-posedness of the generalized Navier-Stokes equations with damping.
10,Short-Term Electric Load Forecasting With Sparse Coding Methods.
24,An Optimal Control Problem in Polyconvex Hyperelasticity.
58,"An Empirical Investigation of Digital Content Characteristics, Value, and Flow."
31,Improved monarch butterfly optimization for unconstrained global search and neural network training.
63,Public Strategies for Artificial Intelligence: Which Value Drivers?
87,Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.
73,Privacy-preserving network forensics.
75,Free at Last: The Future of Peer-Reviewed Journals.
90,Weak Galerkin finite element method with second-order accuracy in time for parabolic problems.
48,Threshold Effects of the Network Structure in the Relationship Between Patent PageRank and Patent Value.
89,NFT Certificates and Proof of Delivery for Fine Jewelry and Gemstones.
71,Development of a Smart Helmet for Strategical BCI Applications.
5,The Correlation Between Bubble-Enhanced HIFU Heating and Cavitation Power.
1,∂̄-dressing method for the coupled Gerdjikov-Ivanov equation.
80,The First Summer School on Ubiquitous and Pervasive Computing.
33,Exploiting GSM short message service for ubiquitous accessing.
26,Accounting for Dynamic Diversity Among Child Users of IoT.
65,A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.
86,Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.
81,Distance Transformation for Network Design Problems.
76,An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.
77,A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.
87,An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using 
78,Automatic scaling range selection for long-range dependent network traffic.
80,Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.
19,Reports on the AAAI 1999 Workshop Program.
19,Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.
8,An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.
17,To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.
48,Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.
77,Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.
26,A review on manipulation skill acquisition through teleoperation-based learning from demonstration.
43,Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.
1,Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.
78,Parameter-Free Attention in fMRI Decoding.
42,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.
67,A survey of transformer-based multimodal pre-trained modals.
27,On multiserver feedback retrial queues with balking and control retrial rate.
27,Approximability in the GPAC.
62,Knowledge Management Research Initiatives in North America.
22,Geometrical Bounds for Variance and Recentered Moments.
12,Improved likelihood ratio test based voice activity detector applied to speech recognition.
77,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.
75,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.
97,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks."
93,An integrated model to evaluate water-energy-food nexus at a household scale.
26,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
84,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.
56,Context Effect in the Categorical Perception of Mandarin Tones.
50,On an algorithm for Vision-based hand gesture recognition.
24,Converting scanned images of seismic reflection data into SEG-Y format.
42,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.
6,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
43,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.
20,A Study of Search Intermediary Working Notes: Implications for IR System Design.
28,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.
87,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
46,A finite characterization of
39,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.
77,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.
17,LexBFS-orderings and powers of chordal graphs.
79,On strong edge-colouring of subcubic graphs.
36,Confidence intervals for an ordinal effect size measure based on partially validated series.
74,Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.
31,Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.
82,"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3."
75,A martingale Kronecker lemma and parameter estimation for linear systems.
41,Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.
4,Particle Swarm Optimization With Interswarm Interactive Learning Strategy.
48,Decentralized Consensus Optimization Based on Parallel Random Walk.
43,Determination of optimal order-up to level quantities for dependent spare parts using data mining.
53,Adaptive learning region importance for region-based image retrieval.
35,Big vs little core for energy-efficient Hadoop computing.
14,Estimation of fiber orientation and spin density distribution by diffusion deconvolution.
21,QoE Vadis? (Dagstuhl Perspectives Workshop 16472).
11,UWB Channel Modeling in Roadway and Indoor Parking Environments.
24,System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.
86,A Semantic web approach to handling soft constraints in virtual organisations.
92,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
81,Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.
46,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
21,A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.
35,Recognition of abdominal organs using 3D mathematical morphology.
8,Editorial Foreword.
19,Rate-distortion theory applied to automatic object recognition.
68,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
54,Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.
40,Private and rateless adaptive coded matrix-vector multiplication.
9,In silico evaluation of the influence of the translocon on partitioning of membrane segments.
62,Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.
90,MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.
62,A Novel Emulation Model of the Cardiac Conduction System.
81,A group key-policy attribute-based encryption with partial outsourcing decryption in wireless sensor networks.
3,Sampling issues in quantitative analysis of dendritic spines morphology.
22,Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.
7,Prosody-driven Sentence Processing: An Event-related Brain Potential Study.
5,KeyWords Plus - Algorithmic Derivative Indexing.
48,Learning Security QA from the Vulnerability Researchers.
81,"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface."
71,Adaptive Particle Filter for Data Fusion of Multiple Cameras.
85,A method to track cortical surface deformations using a laser range scanner.
84,Faster Approximate Diameter and Distance Oracles in Planar Graphs.
21,ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.
49,Towards a logical reconstruction of structured modeling.
7,Stepping out of the shallows.
40,Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.
9,"Corrigendum to ""Stable matchings and preferences of couples"" [J. Econ. Theory 121 (1) (2005) 75-106]."
100,A Residual Analysis-Based Improved Particle Filter in Mobile Localization for Wireless Sensor Networks.
16,Enhance VR: A Multisensory Approach to Cognitive Training and Monitoring.
42,DVB - vom Digitalen Fernsehen zum Datenrundfunk.
33,"Survey on test case generation, selection and prioritization for cyber-physical systems."
24,Moby: A Blackout-Resistant Anonymity Network for Mobile Devices.
73,Processing of Noise Radar Waveforms using Block Least Mean Squares Algorithm.
96,Water Management in Agriculture: A Survey on Current Challenges and Technological Solutions.
97,Modified Magnitude-Phase Spectrum Information for Spoofing Detection.
18,A new approach for interpreting Random Forest models and its application to the biology of ageing.
34,Advanced manufacturing systems: supply-demand matching of manufacturing resource based on complex networks and Internet of Things.
9,Improved Robust Video Saliency Detection Based on Long-Term Spatial-Temporal Information.
100,Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.
55,Mobile Applikationen im Recruiting und Personalmarketing.
39,An Advanced Voltage Support Scheme Considering the Impact of Zero-Sequence Voltage Under Microgrid Faults Using Model Predictive Control.
31,Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.
70,How Attention Changes in Response to Incentives.
96,Structural Analysis of Cloud Classifier.
35,Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.
66,The game coloring number of pseudo partial 
72,An enhanced AHP-TOPSIS-based clustering algorithm for high-quality live video streaming in flying ad hoc networks.
87,Syntax and Semantics: A Categorical View
67,Chapter Two - Integrated platforms for blockchain enablement.
32,Evaluating the user-centredness of development organisations: conclusions and implications from empirical usability capability maturity assessments.
9,Feature Extraction in Character Recognition with Associative Memory Classifier.
10,Intra-Cluster Distance Minimization in DNA Methylation Analysis Using an Advanced Tabu-Based Iterative $k$k-Medoids Clustering Algorithm (T-CLUST).
32,Linear Complexity of New Binary Sequence Derived From Polynomial Quotients Modulo p in General Case and Their Generalizations.
4,Further results on time-free P systems.
98,Application of the Generalized Hamiltonian Dynamics to Spherical Harmonic Oscillators.
35,Practical Verifiable Encryption and Decryption of Discrete Logarithms.
29,LMI conditions for global asymptotic stability results for neutral-type neural networks with distributed time delays.
61,A quantum related-key attack based on the Bernstein-Vazirani algorithm.
28,Optimal Power for Microwave Slotted Probes in Ablating Different Hepatocellular Carcinoma Sizes.
59,Hiding Secrets in Plain Sight.
75,Bidirectional Optical Spatial Modulation for Mobile Users: Toward a Practical Design for LiFi Systems.
56,Dynamic anti-windup based control method for state constrained systems.
39,Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.
75,Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.
71,Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.
29,Dissociated multi-unit activity and local field potentials: A theory inspired analysis of a motor decision task.
50,A Generalized Geodesic Distance-Based Approach for Analysis of SAR Observations Across Polarimetric Modes.
55,A content based image retrieval system for a biological specimen collection.
75,A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.
4,An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.
20,A note on the Distance spectral radius of some graphs.
33,On the expected time for Herman's probabilistic self-stabilizing algorithm.
32,Mobile Technology for Foreign Language Teaching: Building Bridges between Non-formal and Formal Scenarios.
17,Digitale Transformation im stationären Einzelhandel.
5,Coupling strategies for the numerical simulation of blood flow in deformable arteries by 3D and 1D models.
24,Modeling allosteric signal propagation using protein structure networks.
48,Array of Organic Field-Effect Transistor for Advanced Sensing.
76,Problem-based learning as an effective tool for teaching computer network design.
9,"Papers Invited from the 12th International Conference on ITS Telecommunications, Taipei, Taiwan, November 5-8, 2012 [Guest Editorial]."
2,Effects of Modulation Techniques on the Input Current Interharmonics of Adjustable Speed Drives.
95,Calculating the Maximum Execution Time of Real-Time Programs.
71,User-Like Executives.
76,"An informational distance for estimating the faithfulness of a possibility distribution, viewed as a family of probability distributions, with respect to data."
14,Large-scale Cortical Network Properties Predict Future Sound-to-Word Learning Success.
87,Trading rule discovery in the US stock market: An empirical study.
38,"Hilfsbereit, verständnisvoll, bescheiden: Problematik und Folgen von weiblichen Voice Assistants."
53,Using Reputation Systems and Non-Deterministic Routing to Secure Wireless Sensor Networks.
68,Fast computation of Legendre moments of polyhedra.
79,Mathematical programming models for piecewise-linear discriminant analysis.
55,Euclidean Distance Approximations From Replacement Product Graphs.
19,A modified cumulant matrix for DOA estimation.
25,Fast k-Nearest Neighbor Searching in Static Objects.
46,A Design Method of bursting Using Two-Parameter bifurcation Diagrams in Fitzhugh-nagumo Model.
75,E-medical diagnosis support system for non-invasive liver fibrosis recognition.
49,On-line Construction of Two-Dimensional Suffix Trees.
3,New March Tests for Multiport RAM Devices.
98,Applying Case-Based Reasoning to Tactical Cognitive Sensor Networks for Dynamic Frequency Allocation.
88,Block-level packet recovery with network coding for wireless reliable multicast.
3,On the applicability of the Fujisaki-Okamoto transformation to the BIKE KEM.
4,Considerations on the multiplexing and diversity tradeoff in ieee 802.11 networks.
69,Federated Learning-Based Cooperative Spectrum Sensing in Cognitive Radio.
17,On a Free Boundary Problem for a Strongly Degenerate Quasi-Linear Parabolic Equation with an Application to a Model of Pressure Filtration.
53,Workshop on multi-dimensional separation of concerns in software engineering.
85,Joint segmentation and classification of retinal arteries/veins from fundus images.
21,Correction of Wavefront Tilt Caused by Atmospheric Turbulence Using Quadrant Detectors for Enabling Fast Free-Space Quantum Communications in Daylight.
7,Unsupervised Deep Joint Segmentation of Multitemporal High-Resolution Images.
44,HanLP-Based Technology Function Matrix Construction on Chinese Process Patents.
89,NFS-cc: tuning NFS for concurrent read sharing.
19,Critical diversity dimensions influencing effective diverse workforce: a grey-DEMATEL approach.
5,Guest Editors' Introduction: Special Issue on Autonomous Systems Design.
31,Application of adaptive multilevel splitting to high-dimensional dynamical systems.
14,Penalised spline estimation for generalised partially linear single-index models.
82,Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.
50,Ranking configuration parameters in multi-tiered e-commerce sites.
73,On nonmetric similarity search problems in complex domains.
57,"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments."
45,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999."
54,Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.
95,Design and application of integrated parabolic soft actuator.
34,Formal solutions of singularly-perturbed linear differential systems.
50,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.
94,A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.
22,Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.
71,Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.
100,Improving Human Decision Making through Case-Based Decision Aiding.
8,An efficient weak sharpening detection method for image forensics.
62,Flexible Transaction Dependencies in Database Systems.
88,Professional ethics and social responsibility: military work and peacebuilding.
40,Allowing for the effect of data binning in a Bayesian Normal mixture model.
35,Monotonicity properties of wholesale price contracts.
64,Distance Oracles beyond the Thorup-Zwick Bound.
87,MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.
61,Improving amplify-and-forward relay networks: optimal power allocation versus selection.
87,An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.
18,Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.
27,Localized measurement of image fractal dimension using gabor filters.
91,Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.
4,On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.
