quote,cited
Calculating the Maximum Execution Time of Real-Time Programs.,Topologic Proofs of Some Combinatorial Theorems.
Calculating the Maximum Execution Time of Real-Time Programs.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Calculating the Maximum Execution Time of Real-Time Programs.,Markov Chain Model for Events Following Induced Abortion.
Calculating the Maximum Execution Time of Real-Time Programs.,Issues in International Public Data Networking.
Stabilizing an Uncertain Production System.,Algorithms for Shape Analysis of Contours and Waveforms.
Stabilizing an Uncertain Production System.,"One-Tape, Off-Line Turing Machine Computations"
Stabilizing an Uncertain Production System.,Prometheus or Pandora: The Influence of Automation on Society.
Stabilizing an Uncertain Production System.,User-Like Executives.
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,Syntax and Semantics: A Categorical View
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,The significance of microprogramming.
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,Algorithms for Shape Analysis of Contours and Waveforms.
Static Scheduling for Dynamic Dataflow Machines.,A Theory of Restricted Quantification I.
Static Scheduling for Dynamic Dataflow Machines.,"One-Tape, Off-Line Turing Machine Computations"
Static Scheduling for Dynamic Dataflow Machines.,"Gateways, architectures, and heffalumps."
Static Scheduling for Dynamic Dataflow Machines.,UCL facsimile system.
Animal behavior as a paradigm for developing robot autonomy.,"One-Tape, Off-Line Turing Machine Computations"
Animal behavior as a paradigm for developing robot autonomy.,A library network model.
Animal behavior as a paradigm for developing robot autonomy.,IO and OI. II.
Animal behavior as a paradigm for developing robot autonomy.,Prometheus or Pandora: The Influence of Automation on Society.
Animal behavior as a paradigm for developing robot autonomy.,UCL facsimile system.
VSAT data networks.,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
VSAT data networks.,Graph decomposition with applications to subdivisions and path systems modulo 
VSAT data networks.,Query Optimization in Star Computer Networks.
VSAT data networks.,UCL facsimile system.
A VLSI architecture for dynamic scene analysis.,Markov Chain Model for Events Following Induced Abortion.
A VLSI architecture for dynamic scene analysis.,Issues in International Public Data Networking.
A VLSI architecture for dynamic scene analysis.,Query Optimization in Star Computer Networks.
A VLSI architecture for dynamic scene analysis.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Algorithm 300: Coulomb wave functions.
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Syntax and Semantics: A Categorical View
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Markov Chain Model for Events Following Induced Abortion.
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Query Optimization in Star Computer Networks.
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Graph decomposition with applications to subdivisions and path systems modulo 
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,"One-Tape, Off-Line Turing Machine Computations"
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,Syntax and Semantics: A Categorical View
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,Issues in International Public Data Networking.
Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.,UCL facsimile system.
On measuring the system coherency of quadratically nonlinear systems.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
On measuring the system coherency of quadratically nonlinear systems.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
On measuring the system coherency of quadratically nonlinear systems.,A library network model.
On measuring the system coherency of quadratically nonlinear systems.,"Gateways, architectures, and heffalumps."
An Extremal Problem on Sparse 0-1 Matrices.,Algorithm 300: Coulomb wave functions.
An Extremal Problem on Sparse 0-1 Matrices.,The significance of microprogramming.
An Extremal Problem on Sparse 0-1 Matrices.,A new lower bound for the minimum distance of a cyclic code.
An Extremal Problem on Sparse 0-1 Matrices.,FAC: A Functional APL Language.
An Extremal Problem on Sparse 0-1 Matrices.,A finite characterization of
Improving Human Decision Making through Case-Based Decision Aiding.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Improving Human Decision Making through Case-Based Decision Aiding.,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Improving Human Decision Making through Case-Based Decision Aiding.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Improving Human Decision Making through Case-Based Decision Aiding.,Graph decomposition with applications to subdivisions and path systems modulo 
Improving Human Decision Making through Case-Based Decision Aiding.,Issues of Importance in Designing GaAs Microcomputer Systems.
Localized measurement of image fractal dimension using gabor filters.,Automatic analysis of electronic digital circuits using list processing.
Localized measurement of image fractal dimension using gabor filters.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Localized measurement of image fractal dimension using gabor filters.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Localized measurement of image fractal dimension using gabor filters.,Query Optimization in Star Computer Networks.
Localized measurement of image fractal dimension using gabor filters.,Issues of Importance in Designing GaAs Microcomputer Systems.
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,Issues of Importance in Designing GaAs Microcomputer Systems.
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,User-Like Executives.
A knowledge based decision support system for computer performance management.,Automatic analysis of electronic digital circuits using list processing.
A knowledge based decision support system for computer performance management.,FAC: A Functional APL Language.
A knowledge based decision support system for computer performance management.,UCL facsimile system.
A knowledge based decision support system for computer performance management.,Two Poset Polytopes.
Parallel Simulated Annealing.,Topologic Proofs of Some Combinatorial Theorems.
Parallel Simulated Annealing.,The significance of microprogramming.
Parallel Simulated Annealing.,IO and OI. II.
Parallel Simulated Annealing.,Algorithms for Shape Analysis of Contours and Waveforms.
Parallel Simulated Annealing.,Two-dimensional dot codes for product identification.
Book review.,Algorithm 300: Coulomb wave functions.
Book review.,Topologic Proofs of Some Combinatorial Theorems.
Book review.,Query Optimization in Star Computer Networks.
Book review.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Book review.,A finite characterization of
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,Maximum Matchings in General Graphs Through Randomization.
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,Syntax and Semantics: A Categorical View
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,User-Like Executives.
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,The significance of microprogramming.
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,A finite characterization of
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,Algorithm 300: Coulomb wave functions.
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,UCL facsimile system.
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,A new lower bound for the minimum distance of a cyclic code.
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,Two Poset Polytopes.
R & D indicators and socio-economic cohesion.,Maximum Matchings in General Graphs Through Randomization.
R & D indicators and socio-economic cohesion.,Algorithm 300: Coulomb wave functions.
R & D indicators and socio-economic cohesion.,Topologic Proofs of Some Combinatorial Theorems.
R & D indicators and socio-economic cohesion.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
R & D indicators and socio-economic cohesion.,The significance of microprogramming.
A fast graphics printing program for neurophysiological data.,Algorithm 300: Coulomb wave functions.
A fast graphics printing program for neurophysiological data.,Topologic Proofs of Some Combinatorial Theorems.
A fast graphics printing program for neurophysiological data.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
A fast graphics printing program for neurophysiological data.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
A fast graphics printing program for neurophysiological data.,Issues of Importance in Designing GaAs Microcomputer Systems.
Reduction of sample sizes in network sampling models.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
Reduction of sample sizes in network sampling models.,Cerebrospinal fluid control system.
Reduction of sample sizes in network sampling models.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Reduction of sample sizes in network sampling models.,Query Optimization in Star Computer Networks.
Reduction of sample sizes in network sampling models.,Two-dimensional dot codes for product identification.
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,A Theory of Restricted Quantification I.
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,Calculating the Maximum Execution Time of Real-Time Programs.
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,FAC: A Functional APL Language.
Special issue: Intelligent user interfaces.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Special issue: Intelligent user interfaces.,Static Scheduling for Dynamic Dataflow Machines.
Special issue: Intelligent user interfaces.,Query Optimization in Star Computer Networks.
Special issue: Intelligent user interfaces.,Topologic Proofs of Some Combinatorial Theorems.
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,Multichannel bandwidth allocation in a broadband packet switch.
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,User-Like Executives.
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,Issues in International Public Data Networking.
Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.,Issues of Importance in Designing GaAs Microcomputer Systems.
KeyWords Plus - Algorithmic Derivative Indexing.,Multichannel bandwidth allocation in a broadband packet switch.
KeyWords Plus - Algorithmic Derivative Indexing.,"Gateways, architectures, and heffalumps."
KeyWords Plus - Algorithmic Derivative Indexing.,Two Poset Polytopes.
KeyWords Plus - Algorithmic Derivative Indexing.,Calculating the Maximum Execution Time of Real-Time Programs.
Towards a logical reconstruction of structured modeling.,Cerebrospinal fluid control system.
Towards a logical reconstruction of structured modeling.,Syntax and Semantics: A Categorical View
Towards a logical reconstruction of structured modeling.,Stabilizing an Uncertain Production System.
Towards a logical reconstruction of structured modeling.,A new lower bound for the minimum distance of a cyclic code.
Towards a logical reconstruction of structured modeling.,FAC: A Functional APL Language.
Human-computer interaction and standardization.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Human-computer interaction and standardization.,Multichannel bandwidth allocation in a broadband packet switch.
Human-computer interaction and standardization.,User-Like Executives.
Human-computer interaction and standardization.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Human-computer interaction and standardization.,Prometheus or Pandora: The Influence of Automation on Society.
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",Multichannel bandwidth allocation in a broadband packet switch.
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",Algorithm 300: Coulomb wave functions.
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",Markov Chain Model for Events Following Induced Abortion.
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",VSAT data networks.
On Row-Cyclic Codes with Algebraic Structure.,Asymptotically optimal quantizers for detection of I.I.D. data.
On Row-Cyclic Codes with Algebraic Structure.,VSAT data networks.
On Row-Cyclic Codes with Algebraic Structure.,UCL facsimile system.
On Row-Cyclic Codes with Algebraic Structure.,Issues of Importance in Designing GaAs Microcomputer Systems.
On Row-Cyclic Codes with Algebraic Structure.,A finite characterization of
The Changing Library Environment.,Automatic analysis of electronic digital circuits using list processing.
The Changing Library Environment.,Topologic Proofs of Some Combinatorial Theorems.
The Changing Library Environment.,User-Like Executives.
The Changing Library Environment.,Stabilizing an Uncertain Production System.
The Changing Library Environment.,A VLSI architecture for dynamic scene analysis.
Structuring and modules for knowledge bases: motivation for a new model.,Maximum Matchings in General Graphs Through Randomization.
Structuring and modules for knowledge bases: motivation for a new model.,Static Scheduling for Dynamic Dataflow Machines.
Structuring and modules for knowledge bases: motivation for a new model.,The significance of microprogramming.
Structuring and modules for knowledge bases: motivation for a new model.,On measuring the system coherency of quadratically nonlinear systems.
Structuring and modules for knowledge bases: motivation for a new model.,Graph decomposition with applications to subdivisions and path systems modulo 
A construction of vertex-transitive non-Cayley graphs.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
A construction of vertex-transitive non-Cayley graphs.,Maximum Matchings in General Graphs Through Randomization.
A construction of vertex-transitive non-Cayley graphs.,Algorithm 300: Coulomb wave functions.
A construction of vertex-transitive non-Cayley graphs.,Prometheus or Pandora: The Influence of Automation on Society.
A construction of vertex-transitive non-Cayley graphs.,Graph decomposition with applications to subdivisions and path systems modulo 
Traffic Hazards on the Superhighway.,Maximum Matchings in General Graphs Through Randomization.
Traffic Hazards on the Superhighway.,Algorithms for Shape Analysis of Contours and Waveforms.
Traffic Hazards on the Superhighway.,Query Optimization in Star Computer Networks.
Traffic Hazards on the Superhighway.,Graph decomposition with applications to subdivisions and path systems modulo 
Traffic Hazards on the Superhighway.,FAC: A Functional APL Language.
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,"One-Tape, Off-Line Turing Machine Computations"
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,Prometheus or Pandora: The Influence of Automation on Society.
A modified cumulant matrix for DOA estimation.,"One-Tape, Off-Line Turing Machine Computations"
A modified cumulant matrix for DOA estimation.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
A modified cumulant matrix for DOA estimation.,VSAT data networks.
A modified cumulant matrix for DOA estimation.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
A modified cumulant matrix for DOA estimation.,A knowledge based decision support system for computer performance management.
Notes on the simulation of evolution.,Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.
Notes on the simulation of evolution.,A VLSI architecture for dynamic scene analysis.
Notes on the simulation of evolution.,Issues in International Public Data Networking.
Notes on the simulation of evolution.,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Notes on the simulation of evolution.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,Calculating the Maximum Execution Time of Real-Time Programs.
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,"Gateways, architectures, and heffalumps."
Definitions of Managed Objects for SNA Data Link Control (SDLC) using SMIv2.,A finite characterization of
Independent Updates and Incremental Agreement in Replicated Databases.,Multichannel bandwidth allocation in a broadband packet switch.
Independent Updates and Incremental Agreement in Replicated Databases.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Independent Updates and Incremental Agreement in Replicated Databases.,Topologic Proofs of Some Combinatorial Theorems.
Independent Updates and Incremental Agreement in Replicated Databases.,Issues in International Public Data Networking.
Independent Updates and Incremental Agreement in Replicated Databases.,Two Poset Polytopes.
Making Customer Service a Priority.,Cerebrospinal fluid control system.
Making Customer Service a Priority.,"One-Tape, Off-Line Turing Machine Computations"
Making Customer Service a Priority.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Making Customer Service a Priority.,On measuring the system coherency of quadratically nonlinear systems.
Making Customer Service a Priority.,Issues in International Public Data Networking.
Dedication.,A library network model.
Dedication.,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Dedication.,Query Optimization in Star Computer Networks.
Dedication.,Parallel Simulated Annealing.
Dedication.,R & D indicators and socio-economic cohesion.
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,Calculating the Maximum Execution Time of Real-Time Programs.
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,On the Divergence and the Joshi Dependence Measure in Feature Selection.
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,VSAT data networks.
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,IO and OI. II.
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,Prometheus or Pandora: The Influence of Automation on Society.
Stochastic Models with Multistability and Extinction Levels.,A library network model.
Stochastic Models with Multistability and Extinction Levels.,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
Stochastic Models with Multistability and Extinction Levels.,A knowledge based decision support system for computer performance management.
Stochastic Models with Multistability and Extinction Levels.,UCL facsimile system.
Stochastic Models with Multistability and Extinction Levels.,A new lower bound for the minimum distance of a cyclic code.
On numbers of vertices of maximum degree in the spanning trees of a graph.,Automatic analysis of electronic digital circuits using list processing.
On numbers of vertices of maximum degree in the spanning trees of a graph.,Maximum Matchings in General Graphs Through Randomization.
On numbers of vertices of maximum degree in the spanning trees of a graph.,The significance of microprogramming.
On numbers of vertices of maximum degree in the spanning trees of a graph.,Localized measurement of image fractal dimension using gabor filters.
On numbers of vertices of maximum degree in the spanning trees of a graph.,Reduction of sample sizes in network sampling models.
Productive Use of Failure in Inductive Proof.,Algorithm 300: Coulomb wave functions.
Productive Use of Failure in Inductive Proof.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Productive Use of Failure in Inductive Proof.,Static Scheduling for Dynamic Dataflow Machines.
Productive Use of Failure in Inductive Proof.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
Productive Use of Failure in Inductive Proof.,A fast graphics printing program for neurophysiological data.
Sensitive Functions and Approximate Problems.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Sensitive Functions and Approximate Problems.,Cerebrospinal fluid control system.
Sensitive Functions and Approximate Problems.,Automatic analysis of electronic digital circuits using list processing.
Sensitive Functions and Approximate Problems.,Localized measurement of image fractal dimension using gabor filters.
A Study of Search Intermediary Working Notes: Implications for IR System Design.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
A Study of Search Intermediary Working Notes: Implications for IR System Design.,User-Like Executives.
A Study of Search Intermediary Working Notes: Implications for IR System Design.,Animal behavior as a paradigm for developing robot autonomy.
A Study of Search Intermediary Working Notes: Implications for IR System Design.,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
A Study of Search Intermediary Working Notes: Implications for IR System Design.,Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",Cerebrospinal fluid control system.
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",User-Like Executives.
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",A new lower bound for the minimum distance of a cyclic code.
"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface.",A fast graphics printing program for neurophysiological data.
Dynamic QoS control of multimedia applications based on ,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Dynamic QoS control of multimedia applications based on ,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
Dynamic QoS control of multimedia applications based on ,Parallel Simulated Annealing.
